基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
002810,金信转型创新成长混合发起式A,2025-08-01,2.8109,2.8109,-0.49,0.85,4.83,13.29,21.27,59.77,44.07,22.48,25.23,181.09,181.09
004292,鹏华沪深港互联网股票,2025-08-01,1.8892,1.8892,-2.22,-1.8,5.67,12.6,17.49,59.76,8.28,-4.26,17.45,88.92,88.92
006523,财通新兴蓝筹混合C,2025-08-01,1.8133,1.8133,-0.37,3.64,16.43,33.4,18.73,59.72,47.47,4.94,25.31,81.33,81.33
011042,国泰价值先锋股票A,2025-08-01,1.0437,1.0437,-2.15,1.72,12.38,24.84,43.03,59.68,18.62,-0.11,43.07,4.37,4.37
012920,易方达全球成长精选混合(QDII)人民币A,2025-07-31,1.8338,1.8338,0.36,5.29,13.86,35.76,35.99,59.68,76.82,82.65,34.62,83.38,
020180,金信深圳成长混合C,2025-08-01,2.6248,3.1361,0.04,2.82,10.87,22.24,34.32,59.68,,,33.24,23.73,23.732338
020484,中欧中证全指软件开发指数发起A,2025-08-01,1.2605,1.2605,0.67,0.21,6.43,12.75,15.43,59.64,,,15.72,26.05,26.05
012083,博时数字经济混合C,2025-08-01,0.9022,0.9022,-0.55,0.36,8.82,24.65,25.97,59.6,18.32,1.08,27.57,-9.78,-9.78
007113,永赢高端制造混合A,2025-08-01,1.2758,1.2758,-1.41,9.51,25.04,37.45,40.03,59.59,31.99,4.21,36.9,27.57,27.567243
012321,东财云计算增强A,2025-08-01,1.2215,1.2215,-0.48,1.64,11.86,18.06,20.81,59.59,20.88,64.67,19.57,22.15,22.15
